Stazione;E_GB;N_GB;Quota
Accettura;2617337.03;4483969.95;799
Acerenza;2598682.28;4517055.81;833
Acquafredda;2576898.91;4431748.56;86
Agromonte C. C.;2609458.71;4435763.54;500
Albano di Lucania;2607674.51;4492875.11;824
Aliano;2624685.35;4461864.18;497
Anzi;2597607.98;4485588.64;1066
Armento;2610565.08;4461680.47;640
Baraccone C.C.;2633018.53;4471237.57;335
Basentello C.C.;2630973.74;4513769.88;350
Basento Freatimetro;2671218.82;4470203.68;10
Bella S. Antonio Casalini;2571440.00;4510078.00;744
Bernalda;2662565.08;4475443.91;127
Bradano Freatimetro;2674553.85;4476296.17;16
C.le Castrocucco;2587572.41;4424720.73;92
Calciano;2621434.96;4493276.97;450
Calvello;2592031.40;4479981.85;700
Calvera;2617299.24;4445019.26;605
Cancellara;2597357.88;4509640.30;620
Caprarico;2637393.67;4462052.24;160
Caprarizzo;2635324.22;4504583.32;420
Carbone;2612202.47;4443197.49;685
Castelluccio Inferiore;2602865.00;4428908.00;490
Castelluccio Superiore;2602434.55;4430133.24;700
Castelsaraceno;2603668.75;4446798.50;950
Castronuovo S.Andrea;2620781.31;4449259.08;660
Cavone a Ponte SS 106;2666304.71;4462005.03;17
Cersosimo;2634990.38;4434258.08;563
Chiaromonte;2622135.78;4441475.03;794
Cogliandrino;2599501.99;4439352.69;700
Cognato;2615834.25;4491352.17;557
Colonna C.C.;2614193.43;4509835.70;350
Corleto Perticara;2607633.29;4470897.17;746
Craco;2641480.42;4471370.18;391
Craco Peschiera Idrometro;2649201.66;4468942.95;6
Episcopia;2613709.29;4435814.99;520
Ferrandina;2643035.70;4484041.56;492
Foce Sinni;2659795.28;4447321.88;35
Francavilla in Sinni;2622185.58;4437775.04;421
Genzano di Lucania;2607199.09;4522961.50;591
Gorgoglione;2617457.24;4474719.47;800
Grancia;2598898.11;4496704.10;747
Grassano;2627408.57;4498729.05;577
Grottole;2636873.34;4495354.42;481
Grumento Nova;2596244.07;4460442.01;585
Irsina;2624319.03;4511575.52;533
Isca di Tramutola;2587939.56;4465141.87;597
Lagonegro;2584925.33;4442934.74;666
Latronico;2606603.88;4437580.53;884
Laurenzana;2602748.57;4478751.19;850
Lauria Inferiore;2591056.91;4433718.23;630
Malabocca C.C.;2647246.81;4464063.49;175
Maratea;2581196.09;4426231.94;300
Marsico Nuovo;2581978.74;4475065.94;850
Marsicovetere;2589316.77;4468854.86;1039
Matera;2654879.38;4502213.48;450
Metaponto;2673956.02;4470117.10;3
Mezzana di Lucania;2619521.75;4424787.53;918
Miglionico;2646776.75;4491815.50;466
Mileo;2608063.28;4433896.96;750
Missanello;2619061.54;4459937.46;566
Moliterno;2593693.20;4454095.06;879
Montalbano Jonico;2652958.91;4460461.23;292
Monte Serico;2616829.90;4522823.40;557
Montemurro;2603505.00;4461598.58;710
Montepitecchio;2618132.03;4530242.89;450
Montescaglioso;2660841.77;4492068.71;364
Noepoli;2633380.55;4438560.68;676
Nova Siri;2650389.16;4445611.17;300
Nova Siri Scalo;2658914.17;4443912.66;2
Oppido Lucano;2604330.61;4513417.41;650
Palazzo San Gervasio;2602721.04;4531903.56;483
Pietragalla;2593130.81;4511447.60;839
Pignola;2585266.34;4493827.15;742
Pignola di Lucania;2586282.40;4492880.19;924
Pisticci;2667430.37;4461954.45;364
Pizzutello;2614003.38;4435635.40;445
Policoro;2660818.78;4446598.55;31
Pomarico;2651093.58;4486338.15;455
Ponte Colonna;2617787.48;4510406.70;215
Potenza;2587835.97;4498775.90;811
Potenza Q.A.;2588810.00;4498688.00;659
Recoleta;2660089.68;4456889.42;83
Ripa d'Api Scalo;2614146.46;4513536.07;298
Rivello;2583939.87;4437354.92;450
Roccanova;2621986.17;4452575.10;654
Rotonda;2608191.69;4422797.29;630
Salandra;2631388.10;4486017.30;598
San Basilio;2664187.45;4464370.10;67
San Chirico Raparo;2610720.50;4448730.32;750
San Giorgio Lucano;2637710.07;4441701.71;416
San Giuliano;2649545.17;4495780.64;69
San Giuliano C.C.;2650931.29;4495589.03;90
San Martino d'Agri;2609240.56;4454263.45;661
San Mauro Forte;2625810.36;4482234.97;565
San Nicola d' Avigliano;2587537.22;4509544.03;848
San Salvatore;2672395.07;4477488.88;46
San Severino Lucano;2616613.46;4430300.72;884
Sant'Arcangelo;2627588.52;4456353.94;370
Scanzano;2664329.03;4456969.63;23
Sciffra;2583037.74;4491340.92;780
Sellata C.C.;2586331.67;4487329.89;1200
Senise;2629161.71;4445274.11;330
Stigliano;2624167.27;4472616.13;908
Teana;2617864.40;4443268.77;800
Terra Montonata;2668971.39;4463058.70;11
Terranova di Pollino;2631326.69;4426405.95;930
Tolve;2606941.44;4505763.70;568
Torre Accio;2659891.96;4473851.06;140
Tramutola;2585760.73;4464152.86;654
Trecchina;2586837.84;4429979.66;500
Tricarico;2617168.39;4496920.85;698
Tursi;2645902.71;4456251.42;348
Vaglio di Lucania;2597434.95;4502239.69;933
Valsinni;2641868.38;4447319.21;250
Venusio Scalo;2652074.02;4510415.64;338
Vietri;2563797.00;4493936.00;421
Viggianello;2612427.06;4424697.85;512
Viggiano;2594996.10;4465209.15;1023
